
url,label
http://www.google.com,0
https://www.microsoft.com,0
https://github.com,0
https://openai.com,0
https://www.wikipedia.org,0
https://www.apple.com,0
https://www.amazon.com,0
https://www.linkedin.com,0
https://www.youtube.com,0
http://verify-paypal-login-security.com,1
http://secure-bank-login-update.xyz,1
http://free-gift-card-win-now.ru,1
http://paypal.verify-user-login-alert.com,1
http://login-account-update-security.net,1
http://confirm-your-bank-account.info,1
http://secure-verification-login-paypal.com,1
http://win-a-free-iphone-now.biz,1
http://urgent-account-login-reset.top,1
http://192.168.1.100/login/verify,1
